Model,ROUGE-1,ROUGE-L,Time_ms,Size_MB,TOPSIS_Score,Rank
facebook/bart-base,0.5645177645177646,0.41469781469781475,5219.856739044189,531.8466796875,0.5672080229375597,1.0
t5-small,0.317976402682285,0.27181767252355493,1555.6693077087402,230.814453125,0.43279197706244027,2.0
